"","county_fip_id","cty_exposure_natl_hh_income_at_age_26_p25","cty_exposure_effects_natl_hh_income_at_age_26_p75","cty_exposure_college_attendance_at_ages_18_23_p25","cty_exposure_college_attendance_at_ages_18_23_p75","cty_exposure_value_of_hh_income_at_age_26_p25","cty_exposure_value_of_hh_income_at_age_26_p75","cty_exposure_marriage_rate_at_age_26_p25","cty_exposure_marriage_rate_at_age_26_p75","racial_segregation","income_segregation","segregation_of_poverty_p25","segregation_of_poverty_p75","fraction_with_commute_less15_mins","household_income_per_capita","gini","top_1pct_income_share","fraction_middle_class_between_p25_and_p75","local_tax_rate","local_tax_rate_per_capita","local_govt_expenditures_per_capita","state_eitc_exposure","tax_progressivity","school_expenditure_per_student","student_teacher_ratio","test_score_percentile_income_adjusted","high_school_dropout_rate_income_adjusted","number_of_colleges_per_capita","college_tuition","college_graduation_rate_income_adjusted","labor_force_participation","share_working_in_manufacturing","teenage_14_16_labor_force_participation","migration_inflow_rate","migration_outlflow_rate","fraction_foreign_born","social_capital_index","fraction_religious","violent_crime_rate","total_crime_rate","fraction_of_children_with_single_mothers","fraction_of_adults_divorced","fraction_of_adults_married","median_house_price_for_below_median_income_families","median_house_price_for_above_median_income_families","median_house_rent_for_below_median_income_families","median_house_rent_for_above_median_income_families","log_population_density","location_affordability_of_very_low_income_individual","location_affordability_of_median_income_family","unemployment_rate","fraction_black","poverty_rate","segregation_of_affluence_p75","fraction_with_commute__15_mins","location_affordability_of_median_household","fraction_of_parents_in_1st_national_income_decile","fraction_of_parents_in_2nd_national_income_decile","fraction_of_parents_in_3rd_national_income_decile","fraction_of_parents_in_4th_national_income_decile","fraction_of_parents_in_5th_national_income_decile","fraction_of_parents_in_6th_national_income_decile","fraction_of_parents_in_7th_national_income_decile","fraction_of_parents_in_8th_national_income_decile","fraction_of_parents_in_9th_national_income_decile","fraction_of_parents_in_10th_national_income_decile","w2_pos_30_q1_f","w2_pos_30_q1_m","w2_pos_30_q2_f","w2_pos_30_q2_m","w2_pos_30_q3_f","w2_pos_30_q3_m","w2_pos_30_q4_f","w2_pos_30_q4_m","primary16_clinton","primary16_sanders","no_college","county_component_pc1","county_component_pc2","county_component_pc3","county_component_pc4","county_component_pc5"
"416",54081,-0.0757924,-0.0797477,-0.4733438,-0.4731423,84.85219,-10.3793,-0.9319156,0.9784281,0.1476002,0.0103177,0.0080024,0.0109091,0.3312988,29503.22,0.46907,0.0013977,0.53665,0.0126367,0.3293456,1.283875,0,2.5,6.3389597,16.291963,-5.460138,0.0022274,0.0378692,4080,-0.2877318,0.4976723,0.0543912,0.38488,0.012875537,0.012294875,0.0119288,-1.2476826,0.2236683,0.001338,0.0072456,0.219413,0.0932921,0.6030719,70385.30732,73918.7631,374.157,378.076,4.871563,121.3673,60.90158,0.0513753,0.281804,-0.3275165,-0.0368406,0.0504204,-0.8190525,0.0908983,0.1042411,0.1073386,0.1194901,0.1135335,0.1199666,0.1204432,0.1011437,0.0766023,0.0463426,0.678362573,0.751592357,0.666666667,0.815,0.733333333,0.881773399,0.756880734,0.897435897,0.346,0.524,0,-1.42597362277128,-1.43915381939349,-0.164842881401444,0.160268009421383,2.06558102323927
"417",48305,0.0874541,-0.2849534,0.5867168,-0.4270368,67.03123,-1421.007,-0.1175975,0.5263358,0.0182199,0.0074966,0.0130796,0.0022601,0.4979184,28777.6,0.46999,0.0007754,0.36986,0.0270787,0.7540693,1.687629,0,0,7.4776386,12.126297,8.19642,-0.0212093,0,0,0,0.5658475,0.0363924,0.45482,0.032519084,0.033740458,0.050229,-0.54589167,0.8476336,0.0004504,0.002402,0.1626638,0.0674571,0.6455438,39636.08563,39652.73973,290.697,287.541,1.993886,127.173,57.3933,0.0490777,-0.5230836,1.115032,-3.036463,1.069012,0.8579336,0.0881612,0.1675063,0.1763224,0.1297229,0.0919395,0.081864,0.0667506,0.0743073,0.0755668,0.0478589,0.774193548,0.833333333,0.782608696,0.807692308,0.842105263,0.896551724,0.705882353,0.8,0.583,0.417,1,-3.31840071682092,-0.187574345233073,0.797507577083207,-2.14651776515967,-3.15897419392811
"418",48205,0.3616165,0.0998926,2.421469,-2.54492,773.5782,98.98768,-0.520692,5.57273,0,0,0,0,0.7096606,28077.15,0.23497,0.0019189,0.67925,0.0189266,0.7267474,1.065768,0,0,9.6549521,9.6028754,1.855827,-0.0249694,0,0,0,0.4633385,0.0301703,0.54237,0.004334477,0.016434893,0.0263681,1.1305288,0.5896695,0.0006784,0.0067843,0.0843585,0.0350646,0.7764629,94000,94000,478,478,1.331476,133.0563,45.69733,0.0322449,0.7257854,-1.558146,-0.1894336,2.190929,-1.920542,0.0456674,0.0581528,0.0732824,0.0889093,0.0954349,0.1460554,0.1715931,0.1280435,0.1015723,0.029893,0.869565217,0.735294118,0.8,0.914893617,0.611111111,0.909090909,0.45,0.911111111,0.558,0.365,1,-0.457113043722566,4.60890258715844,0.915283253906544,-2.25573284012157,-0.554290539488707
"419",47117,2.502933,-1.573033,1.457751,1.184388,1849.829,-516.4241,2.473302,0.0738194,0.0871641,0.0359534,0.0502906,0.0232254,0.3681403,32589.42,0.3609,0.0009004,0.58157,0.0187585,0.5259761,2.229259,0,0,4.0529021,15.953193,3.043295,-0.017815,0,0,0,0.6584027,0.4075348,0.38048,0.030149064,0.026861434,0.0140471,-0.98673169,0.4573542,0.0019174,0.0054513,0.2012633,0.118924,0.5955639,81450.07564,85693.8961,447.749,462.453,4.267053,135.1553,62.5558,0.0532391,-0.3130217,-0.4060518,-0.203837,1.488634,1.016566,0.0438283,0.0667859,0.0915325,0.1031604,0.1192606,0.1347645,0.1434108,0.1559332,0.0992844,0.0420394,0.688888889,0.58974359,0.786885246,0.826086957,0.746987952,0.784810127,0.777777778,0.826923077,0.674,0.309,1,0.276585525816936,-0.485749418663846,-2.24907809013281,0.973506327506212,0.272139318241277
"420",47111,-0.6893566,-0.6212935,-1.485244,-2.295343,-524.0959,-636.126,-0.3373414,-3.418002,0.0099622,0.0072809,0.0020226,0.0102624,0.3268738,28550.73,0.28693,0.0005341,0.5913,0.0154673,0.3955111,0.9664277,0,0,4.1204574,16.766721,-5.907734,-0.0176854,0,0,0,0.6393003,0.3451104,0.31095,0.022613558,0.025998234,0.0181007,-2.0270515,0.2576768,0.0014225,0.0039243,0.1482149,0.1150548,0.6364945,65911.85897,66999.55407,379.338,390.764,4.19533,130.0329,52.81974,0.057729,-1.811542,1.284231,-2.378614,1.977234,-0.1803927,0.0661479,0.108463,0.1138132,0.1118677,0.1439689,0.1614786,0.1420233,0.0894942,0.0355058,0.0272374,0.769230769,0.619047619,0.775862069,0.70212766,0.890625,0.816666667,0.92,0.909090909,0.652,0.321,1,-1.97611361629523,0.133440655830976,-3.11653495883597,0.650077618873889,-0.497383489377747
"421",19169,0.1621163,-0.521403,0.3213089,0.0993907,321.6865,-1472.265,0.4918392,-1.233404,0.0998815,0.0757095,0.075669,0.0740951,0.5332892,31215.6,0.31266,0.0012299,0.55619,0.0252735,0.6300436,2.465631,3.714286,2.86,6.6126551,16.35159,16.80257,-0.028789,0.012503,2906,0.3101897,0.7006167,0.0834175,0.64412,0.028381741,0.036646204,0.0692289,1.2856689,0.5096835,0.0005001,0.002238,0.1374875,0.0602638,0.4628131,102018.2869,121846.6272,539.3,565.401,4.938903,132.2445,51.67127,0.0206972,-0.1828262,1.525337,-0.243798,3.399884,0.6809663,0.0151115,0.0273447,0.0359799,0.0532502,0.0823939,0.1229312,0.167786,0.1884145,0.1800192,0.126769,0.789473684,0.864864865,0.819148936,0.803921569,0.817679558,0.882653061,0.849122807,0.916666667,0.405,0.595,0,5.32091233357847,2.44685853511449,2.72314111075164,2.23414628266084,-0.197090249032276
"422",36081,0.1001433,0.0487748,-0.1340384,-0.0756652,110.4713,298.3459,0.1208233,0.1136119,0.315557,0.0471736,0.0419492,0.0492788,0.1021719,34166.42,0.47382,0.0010089,0.49505,0,0,0,6.904762,0,8.9110789,20.201761,-0.2747419,0.0051612,0.0058312,7404.24,-0.0645505,0.5842116,0.0787492,0.30899,0.028949766,0.045814103,0.461267,-2.2630333,0.4818687,0.004581,0.0087799,0.2310254,0.0702798,0.4984414,217372.1677,233879.8275,772.553,827.068,9.92373,155.1764,47.84054,0.0537676,-0.0788818,-0.5136073,-1.230651,-1.107092,-0.5071245,0.0866425,0.1278124,0.1246635,0.1246635,0.1173235,0.1028385,0.0897802,0.085957,0.0812252,0.0590937,0.743912919,0.716385911,0.801851852,0.754611515,0.819610523,0.785440613,0.843582336,0.820333041,0.616,0.384,0,5.41184204860751,-5.99687873234264,-0.274074456440672,-0.338032179592768,-0.619860756841424
"423",37067,-0.5418624,-0.3262828,-0.6207829,0.0366099,-368.2271,-218.2077,-0.6345741,0.4061819,0.2588356,0.0943077,0.0865669,0.1001423,0.3038243,41646.51,0.489,0.0012196,0.45697,0.0202097,0.7573361,2.049921,0,1,5.6370845,15.065747,-9.364507,0.0351695,0.0196036,11615,0.1124625,0.658993,0.1684601,0.37558,0.035802618,0.03176102,0.0648093,0.18963633,0.5036315,0.0028615,0.0127522,0.267948,0.0971262,0.549363,98357.38394,130259.7366,514.413,572.81,6.61639,129.9339,56.21212,0.0471659,0.9381946,0.0621683,1.042244,0.2694276,-0.6221212,0.0695231,0.09384,0.1060606,0.0911575,0.0784898,0.0842275,0.100149,0.1177596,0.1288376,0.1299553,0.726465364,0.607407407,0.784511785,0.713073005,0.806397306,0.760299626,0.829815303,0.818306011,0.58,0.398,0,4.11460613081592,-5.18419415534432,2.09447292141642,2.16085814889418,0.414338853247346
"424",51171,-0.9171749,0.3708373,1.02065,-0.0586801,-181.0875,-1047.672,-2.751903,0.1560874,0.0467855,0.0074812,0.0052864,0.0077731,0.3229684,37219,0.3161,0.0005735,0.63179,0.0179517,0.5626817,1.566791,0,0,5.4843192,15.235537,4.04825,0.0046217,0,0,0,0.6497223,0.2185206,0.58774,0.045531005,0.025716322,0.0307912,0.37448572,0.5373913,0.0012259,0.0060442,0.1767198,0.1002593,0.5992781,100863.1174,101145.073,473.074,476.255,4.226519,140.491,56.10665,0.0243159,-0.1521552,-1.544964,-0.5697256,-1.326555,-0.1980772,0.0355084,0.0691722,0.0936131,0.1069864,0.132119,0.1501038,0.1535624,0.1341942,0.085543,0.0391976,0.825396825,0.735294118,0.835164835,0.836734694,0.822033898,0.846846847,0.879310345,0.87755102,0.505,0.489,1,0.927801885701825,2.39619640777592,-1.27743224014226,0.421263056713803,-1.05117442023601
"425",47057,-1.149218,1.124368,0.2836169,0.4525968,-515.8325,2873.192,-2.460163,0.4527409,0.0117234,0.0050219,0.0051232,0.0053841,0.1991779,25990.52,0.32638,0.0005044,0.54,0.0106584,0.2148581,0.7159404,0,0,4.3194457,15.214942,-1.808265,-0.0341389,0,0,0,0.5719067,0.3127448,0.35603,0.034270778,0.028074931,0.0107943,-1.5286631,0.6502735,0.0027107,0.0074544,0.1364688,0.1107521,0.6500927,73616.35632,75287.40955,332.299,333.004,4.299929,125.3564,63.35356,0.0596847,-0.1984343,1.085904,-0.3879282,-1.733363,0.328842,0.0785525,0.1120918,0.129744,0.1504854,0.1487202,0.1535746,0.1266549,0.0586937,0.0300088,0.011474,0.625,0.603773585,0.754385965,0.657142857,0.795918367,0.757575758,0.8,1,0.611,0.354,1,-3.51845073728701,-0.81975036148647,-3.0035567109788,0.467352545619048,0.0323597068826806
