"","census_county_fips","primary16_clinton","primary16_sanders"
"1385",39099,0.593,0.397
"1386",11081,0.779895432,0.21008905
"1387",31163,0.344,0.656
"1388",39087,0.554,0.416
"1389",51760,0.606,0.391
"1390",16031,0.387,0.613
"1391",54063,0.368,0.498
"1392",26117,0.368,0.605
"1393",29201,0.55,0.43
"1394",46021,0.435,0.565
"1395",50013,0.130136656,0.859849277
"1396",21163,0.419,0.492
"1397",20009,0.535,0.425
"1398",54095,0.283,0.6
"1399",48457,0.743,0.228
"1400",2201,0.1951,0.8049
"1401",42129,0.543,0.44
"1402",16003,0.275,0.696
"1403",27007,0.395,0.49
"1404",45065,0.851,0.142
"1405",5103,0.751,0.188
"1406",37169,0.478,0.44
"1407",47063,0.565,0.405
"1408",42105,0.411,0.569
"1409",54041,0.318,0.549
"1410",29183,0.448,0.543
"1411",36117,0.445,0.555
"1412",33009,0.326690593,0.673309407
"1413",51640,0.578,0.413
"1414",53031,0.293,0.707
"1415",36041,0.369,0.631
"1416",55093,0.419,0.572
"1417",35021,0.62,0.38
"1418",53021,0.201,0.799
"1419",48171,0.719,0.278
"1420",42127,0.474,0.517
"1421",16083,0.278,0.722
"1422",30101,0.524,0.435
"1423",46069,0.606,0.394
"1424",54025,0.35,0.529
"1425",8057,0.556,0.444
"1426",48207,0.587,0.343
"1427",29189,0.553,0.44
"1428",17187,0.49,0.5
"1429",9015,0.38028886,0.599721351
"1430",19199,0.501052903,0.492194945
"1431",27165,0.465952381,0.464285714
"1432",36121,0.395,0.605
"1433",20011,0.478978495,0.459301075
"1434",39115,0.562,0.427
"1435",40111,0.457,0.461
"1436",20117,0.57,0.4
"1437",18135,0.443,0.557
"1438",47127,0.651,0.29
"1439",37161,0.46,0.445
"1440",29137,0.509,0.457
"1441",17159,0.442,0.536
"1442",48263,0.367,0.467
"1443",40077,0.312,0.533
"1444",1097,0.827,0.162
"1445",51017,0.63,0.366
"1446",47083,0.671,0.296
"1447",16053,0.23,0.77
"1448",30059,0.463,0.463
"1449",12003,0.385,0.474
"1450",27113,0.465952381,0.464285714
"1451",42123,0.514,0.464
"1452",46102,0.430151011,0.569840666
"1453",8011,0.481,0.444
"1454",27001,0.465952381,0.464285714
"1455",13039,0.666,0.326
"1456",30055,0.528,0.472
"1457",22073,0.786,0.158
"1458",10005,0.614,0.364
"1459",33019,0.297155778,0.702844222
"1460",49047,0.22,0.763
"1461",8065,0.235,0.73
"1462",13251,0.811,0.175
"1463",29223,0.578,0.388
"1464",1025,0.93,0.063
"1465",39039,0.506,0.482
"1466",26107,0.389,0.586
"1467",42075,0.498,0.493
"1468",19163,0.491,0.505
"1469",36067,0.53,0.47
"1470",42051,0.577,0.405
"1471",28093,0.887,0.102
"1472",48157,0.746,0.249
"1473",48137,0.575,0.37
"1474",29061,0.51,0.471
"1475",40107,0.369,0.523
"1476",21175,0.316,0.573
"1477",13287,0.789,0.194
"1478",13243,0.895,0.092
"1479",13209,0.782,0.196
"1480",40147,0.424,0.516
"1481",13061,0.858,0.127
"1482",48487,0.615,0.339
"1483",21213,0.459,0.451
"1484",1133,0.667,0.304
"1485",46115,0.585,0.415
"1486",48307,0.664,0.307
"1487",30033,0.265,0.5
"1488",40135,0.36,0.496
"1489",55057,0.422,0.573
"1490",42063,0.507,0.473
"1491",46121,0.438,0.562
"1492",19071,0.444,0.5
"1493",28067,0.835,0.159
"1494",51093,0.739,0.258
"1495",51185,0.577,0.402
"1496",51179,0.603,0.388
"1497",37185,0.7,0.245
"1498",37143,0.514,0.348
"1499",37149,0.477,0.487
"1500",26043,0.435,0.515
"1501",48365,0.801,0.186
"1502",18019,0.539,0.461
"1503",54015,0.294,0.51
"1504",12077,0.38,0.471
"1505",36049,0.409,0.591
"1506",20107,0.478978495,0.459301075
"1507",56035,0.25,0.75
"1508",31055,0.46,0.54
"1509",1123,0.88,0.102
"1510",21095,0.259,0.628
"1511",37111,0.409,0.49
"1512",48281,0.6,0.38
"1513",55141,0.395,0.602
"1514",11021,0.779895432,0.21008905
"1515",30039,0.374,0.587
"1516",40047,0.413,0.522
"1517",40015,0.364,0.53
"1518",39093,0.561,0.429
"1519",34033,0.565,0.435
"1520",35005,0.566,0.434
"1521",28095,0.849,0.138
"1522",25005,0.49009973,0.489918086
"1523",31003,0.54,0.46
"1524",40079,0.331,0.505
"1525",48315,0.761,0.222
"1526",1053,0.885,0.099
"1527",27079,0.43,0.5
"1528",29109,0.453,0.535
"1529",38019,0.444583333,0.477083333
"1530",36009,0.421,0.579
"1531",48109,0.62,0.279
"1532",17081,0.472,0.499
"1533",45005,0.908,0.084
"1534",48489,0.701,0.222
"1535",54107,0.373,0.532
"1536",55071,0.434,0.561
"1537",31019,0.308,0.692
"1538",25007,0.450385677,0.539589628
"1539",51051,0.6,0.386
"1540",51087,0.698,0.297
"1541",30041,0.461,0.464
"1542",20175,0.45,0.5
"1543",13121,0.711,0.287
"1544",26077,0.379,0.606
"1545",12057,0.628,0.351
"1546",47075,0.886,0.106
"1547",48183,0.781,0.207
"1548",13161,0.766,0.203
"1549",29167,0.461,0.527
"1550",34011,0.642,0.358
"1551",5031,0.64,0.336
"1552",41051,0.43,0.57
"1553",21071,0.314,0.541
"1554",26045,0.441,0.556
"1555",53043,0.258,0.71
"1556",47161,0.66,0.306
"1557",37005,0.442,0.448
"1558",16087,0.321,0.651
"1559",28143,0.774,0.188
"1560",48201,0.705,0.285
"1561",26037,0.421,0.558
"1562",8029,0.295,0.696
"1563",19001,0.56,0.44
"1564",21121,0.479,0.464
"1565",51510,0.695,0.299
"1566",36097,0.375,0.625
"1567",39155,0.539,0.444
"1568",21209,0.486,0.464
"1569",56041,0.444,0.556
"1570",20195,0.478978495,0.459301075
"1571",12081,0.625,0.351
"1572",11027,0.779895432,0.21008905
"1573",25017,0.519994508,0.469965363
"1574",51109,0.655,0.341
"1575",18111,0.454,0.546
"1576",56031,0.333,0.667
"1577",37027,0.47,0.459
"1578",31121,0.583,0.417
"1579",5077,0.896,0.079
"1580",50007,0.150018399,0.849963572
"1581",31069,0.381,0.619
"1582",13027,0.776,0.215
"1583",46075,0.392,0.608
"1584",51077,0.493,0.5
"1585",5059,0.637,0.297
"1586",17049,0.403,0.58
"1587",28163,0.908,0.084
"1588",47065,0.644,0.347
"1589",48081,0.481,0.481
"1590",32009,0.318,0.682
"1591",22033,0.784,0.19
